date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:07	17946/17946	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2022%20Dec%202023%2017:21:12%20GMT	https://ex-coders.com/html/digtek/assets/js/jquery.waypoints.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/jquery.waypoints.js	(from https://ex-coders.com/html/digtek/)
15:19:07	2181/2181	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2022%20Dec%202023%2017:21:12%20GMT	https://ex-coders.com/html/digtek/assets/js/jquery.counterup.min.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/jquery.counterup.min.js	(from https://ex-coders.com/html/digtek/)
15:19:07	143281/143281	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2030%20Jul%202022%2012:43:52%20GMT	https://ex-coders.com/html/digtek/assets/js/swiper-bundle.min.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/swiper-bundle.min.js	(from https://ex-coders.com/html/digtek/)
15:19:08	5997/5997	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2025%20Dec%202023%2014:04:28%20GMT	https://ex-coders.com/html/digtek/assets/js/jquery.meanmenu.min.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/jquery.meanmenu.min.js	(from https://ex-coders.com/html/digtek/)
15:19:08	20216/20216	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2022%20Dec%202023%2017:21:12%20GMT	https://ex-coders.com/html/digtek/assets/js/jquery.magnific-popup.min.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/jquery.magnific-popup.min.js	(from https://ex-coders.com/html/digtek/)
15:19:08	8155/8155	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2022%20Dec%202023%2017:21:12%20GMT	https://ex-coders.com/html/digtek/assets/js/wow.min.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/wow.min.js	(from https://ex-coders.com/html/digtek/)
15:19:09	6575/6575	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2024%20Nov%202023%2019:32:02%20GMT	https://ex-coders.com/html/digtek/assets/js/circle-progress.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/circle-progress.js	(from https://ex-coders.com/html/digtek/)
15:19:09	13905/13905	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2028%20Nov%202024%2004:44:28%20GMT	https://ex-coders.com/html/digtek/assets/js/main.js	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/js/main.js	(from https://ex-coders.com/html/digtek/)
15:19:10	104740/104740	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-brands-400.woff2	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-brands-400.woff2	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:10	180684/180684	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-brands-400.ttf	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-brands-400.ttf	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:10	402000/402000	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-duotone-900.woff2	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-duotone-900.woff2	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:11	1132808/1132808	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-duotone-900.ttf	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-duotone-900.ttf	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:11	392136/392136	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-light-300.woff2	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-light-300.woff2	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:11	357732/357732	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-regular-400.woff2	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-regular-400.woff2	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:11	999704/999704	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-light-300.ttf	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-light-300.ttf	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:12	891584/891584	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-regular-400.ttf	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-regular-400.ttf	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
